id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
1,apa baak,baak biro mengelola administrasi layanan akademik mahasiswa,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2,apa baak ya,baak biro mengelola administrasi layanan akademik mahasiswa,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3,apa dimaksud baak,baak biro mengelola administrasi layanan akademik mahasiswa,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4,apa tugas utama baak,baak bertugas mengelola krs khs kalender akademik layanan administrasi akademik,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7,mana layanan akademik diproses,seluruh layanan akademik diproses melalui baak universitas mulia,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8,dimana layanan akademik diproses,seluruh layanan akademik diproses melalui baak universitas mulia,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9,dimana layanan akademik diproses ya,seluruh layanan akademik diproses melalui baak universitas mulia,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
10,apa krs,krs kartu rencana studi berisi mata kuliah diambil mahasiswa setiap semester,Akademik,Setiap Semester,Panduan BAAK
12,definisi krs,krs kartu rencana studi berisi mata kuliah diambil mahasiswa setiap semester,Akademik,Setiap Semester,Panduan BAAK
13,kapan pengisian krs dilakukan,pengisian krs dilakukan awal semester sesuai kalender akademik,Akademik,Semester Ganjil & Genap,Kalender Akademik
16,mana mengisi krs,krs diisi melalui sistem informasi akademik siam,Akademik,Setiap Semester,BAAK
17,dimana mengisi krs ya,krs diisi melalui sistem informasi akademik siam,Akademik,Setiap Semester,BAAK
18,dimana mengisi krs,krs diisi melalui sistem informasi akademik siam,Akademik,Setiap Semester,BAAK
19,apakah krs wajib divalidasi ya,ya krs wajib divalidasi oleh dosen pembimbing akademik,Akademik,Setiap Semester,Panduan BAAK
20,apakah krs wajib divalidasi,ya krs wajib divalidasi oleh dosen pembimbing akademik,Akademik,Setiap Semester,Panduan BAAK
22,apa akibat krs tidak divalidasi,mahasiswa tidak dapat mengikuti perkuliahan ujian,Akademik,Setiap Semester,Panduan BAAK
25,apa semester antara,semester antara semester pendek mengulang mata kuliah,Akademik,Antar Semester,BAAK
26,apa semester antara ya,semester antara semester pendek mengulang mata kuliah,Akademik,Antar Semester,BAAK
27,apa dimaksud semester antara,semester antara semester pendek mengulang mata kuliah,Akademik,Antar Semester,BAAK
28,berapa maksimal sks semester antara ya,maksimal sks semester antara 9 sks,Akademik,Antar Semester,Panduan BAAK
29,berapa maksimal sks semester antara,maksimal sks semester antara 9 sks,Akademik,Antar Semester,Panduan BAAK
