id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
1,Apa itu BAAK?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2,Apa itu BAAK ya?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3,Apa yang dimaksud dengan BAAK?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4,Apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
5,Apa tugas utama BAAK?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
6,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7,Di mana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8,dimana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9,Dimana layanan akademik diproses ya?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
10,Apa itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
11,Apa itu KRS?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
12,Definisi dari KRS?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
13,Kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
14,Kapan pengisian KRS dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
15,kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
16,Di mana mengisi KRS?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
17,Dimana mengisi KRS ya?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
18,Dimana mengisi KRS?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
19,Apakah KRS wajib divalidasi ya?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
20,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
21,Apakah KRS wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
22,Apa akibat KRS tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
23,apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
24,Apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
25,apa itu semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
26,Apa itu Semester Antara ya?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
27,Apa yang dimaksud dengan Semester Antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
28,Berapa maksimal SKS Semester Antara ya?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
29,Berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
30,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
31,Apakah Semester Antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
32,apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
33,Apakah semester antara wajib?,Semester Antara bersifat opsional bagi mahasiswa.,Akademik,Antar Semester,BAAK
34,Apa itu cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
35,Apa yang dimaksud dengan cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
36,Definisi dari cuti akademik?,Cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
37,Berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
38,berapa lama cuti akademik?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
39,Berapa lama cuti akademik ya?,Cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
40,bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
41,Gimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
42,Bagaimana cara mengajukan cuti?,Mahasiswa mengisi formulir cuti dan mengajukannya ke BAAK.,Akademik,Berlaku Sepanjang Tahun,BAAK
43,Apa syarat mengikuti UTS?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
44,apa syarat mengikuti uts?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
45,Apa syarat mengikuti UTS ya?,Mahasiswa harus memiliki KRS valid dan memenuhi kehadiran.,Akademik,Setiap Semester,Panduan Akademik
46,Apa syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
47,apa syarat mengikuti uas?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
48,Apa syarat mengikuti UAS ya?,Mahasiswa harus memenuhi kehadiran dan tidak bermasalah secara akademik.,Akademik,Setiap Semester,Panduan Akademik
49,kapan uts dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
50,Kapan UTS dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
51,Waktu UTS dilaksanakan?,UTS dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
52,kapan uas dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
53,Waktu UAS dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
54,Kapan UAS dilaksanakan?,UAS dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
55,Apa itu KHS ya?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
56,Apa itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
